year,month,day,time_of_day,week,rainfall
2020,1,1,Afternoon,00,0.0
2020,1,1,Evening,00,0.0
2020,1,1,Morning,00,0.6990000030000003
2020,1,1,Night,00,4.116000005999993
2020,1,2,Afternoon,00,0.0
2020,1,2,Evening,00,0.0
2020,1,2,Morning,00,0.0
2020,1,2,Night,00,0.0
2020,1,3,Afternoon,00,0.0
2020,1,3,Evening,00,0.0
2020,1,3,Morning,00,0.0
2020,1,3,Night,00,0.0
2020,1,4,Afternoon,00,0.036000000000000004
2020,1,4,Evening,00,17.277000032000004
2020,1,4,Morning,00,43.23200004399999
2020,1,4,Night,00,29.411000058999992
2020,1,5,Afternoon,00,0.023
2020,1,5,Evening,00,231.04600013799978
2020,1,5,Morning,00,0.0
2020,1,5,Night,00,0.0
2020,1,6,Afternoon,01,0.0
2020,1,6,Evening,01,0.064
2020,1,6,Morning,01,4.193000019999994
2020,1,6,Night,01,10.759000022999961
2020,1,7,Afternoon,01,0.0
2020,1,7,Evening,01,0.0
2020,1,7,Morning,01,0.027999999999999997
2020,1,7,Night,01,0.0
2020,1,8,Afternoon,01,0.0
2020,1,8,Evening,01,0.0
2020,1,8,Morning,01,0.14700000000000002
2020,1,8,Night,01,38.95300001399997
2020,1,9,Afternoon,01,0.0
2020,1,9,Evening,01,0.0
2020,1,9,Morning,01,0.14700000000000005
2020,1,9,Night,01,0.08200000000000003
2020,1,10,Afternoon,01,2.4560000079999815
2020,1,10,Evening,01,58.267000016999695
2020,1,10,Morning,01,1.4330000029999959
2020,1,10,Night,01,0.3240000000000001
2020,1,11,Afternoon,01,1343.8800001000031
2020,1,11,Evening,01,532.86700005
2020,1,11,Morning,01,574.7170001179965
2020,1,11,Night,01,466.08800000899885
2020,1,12,Afternoon,01,0.0
2020,1,12,Evening,01,0.0
2020,1,12,Morning,01,7.723000002999991
2020,1,12,Night,01,751.0170000059994
2020,1,13,Afternoon,02,2.4359999999999635
2020,1,13,Evening,02,1.9859999999999647
2020,1,13,Morning,02,6.233000017999973
2020,1,13,Night,02,2.302000003999997
2020,1,14,Afternoon,02,1.363000000999998
2020,1,14,Evening,02,3.177000005999952
2020,1,14,Morning,02,0.0
2020,1,14,Night,02,0.3100000010000002
2020,1,15,Afternoon,02,0.0
2020,1,15,Evening,02,0.03900000000000001
2020,1,15,Morning,02,0.0
2020,1,15,Night,02,1.392000000999996
2020,1,16,Afternoon,02,0.0
2020,1,16,Evening,02,0.0
2020,1,16,Morning,02,0.21600000000000005
